09, 07, 32, 房间00, 密码601608, 12047e21, 06, 00, 游戏状态, 1, 用户进入, 0
12, 55, 15, 房间00, 密码518893, 12047e21, 03, 00, 游戏状态, 1, 用户进入, 0
12, 58, 43, 房间00, 密码518893, 12047e21, 03, 00, 		游戏状态, 1, 定时器, 51, 
12, 58, 43, 房间00, 密码, 12047e21, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
16, 15, 48, 房间00, 密码879941, 12063e28, 03, 00, 游戏状态, 1, 用户进入, 0
17, 54, 38, 房间00, 密码535325, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
17, 57, 46, 房间00, 密码535325, 12047e28, 03, 00, 		游戏状态, 1, 定时器, 51, 
17, 57, 46, 房间00, 密码, 12047e28, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
18, 15, 13, 房间01, 密码894109, 12207f01, 06, 00, 游戏状态, 1, 用户进入, 0
18, 15, 43, 房间00, 密码232015, 12047e28, 03, 00, 		游戏状态, 1, 定时器, 51, 
18, 15, 43, 房间00, 密码, 12047e28, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
18, 19, 12, 房间01, 密码894109, 12207f01, 06, 00, 		游戏状态, 1, 定时器, 51, 
18, 19, 12, 房间01, 密码, 12207f01, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
18, 20, 45, 房间00, 密码368831, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
18, 20, 57, 房间00, 密码368831, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
18, 25, 09, 房间00, 密码368831, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
20, 26, 23, 房间00, 密码969797, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
20, 26, 23, 房间00, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
20, 26, 28, 房间01, 密码240617, 12207f01, 03, 00, 		游戏状态, 1, 定时器, 51, 
20, 26, 28, 房间01, 密码, 12207f01, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
